response_id,university,question_type,true_label,predicted_label
R_2rCa1N6N3d3HwaW,"UTEP: University of Texas, El Paso",Q1,0,0
R_1l6k4qkDrqMeRvb,"UTEP: University of Texas, El Paso",Q1,1,2
R_3NIlzVxxdTzlwpc,"UTEP: University of Texas, El Paso",Q1,1,1
R_2WPGuT5oAsecvWe,"UTEP: University of Texas, El Paso",Q1,0,0
R_2wzPuumMQ1zGGe4,"UTEP: University of Texas, El Paso",Q1,0,1
R_1jCjVLKNgb2huSg,"UTEP: University of Texas, El Paso",Q1,0,0
R_7IPME13SknzIWBL,ISU: Iowa State University,Q3,1,1
R_5Ddtdgsx9r0zrQc,ISU: Iowa State University,Q3,0,0
R_1e5v6fwwBF04jrM,ISU: Iowa State University,Q3,0,0
R_1jNVk8aO7n6DGcI,ISU: Iowa State University,Q3,1,0
R_1f8rzzLS6uKlRkw,ISU: Iowa State University,Q3,1,1
R_6e8RHrMXSwpiDIZ,ISU: Iowa State University,Q3,0,0
R_34ywUo6x0ujtnJT,ISU: Iowa State University,Q3,2,0
R_5rT1LgRg1A2Kkya,ISU: Iowa State University,Q3,0,0
R_5Gjj4Jg955jPXVo,ISU: Iowa State University,Q3,1,0
R_6gJV0etfg9R0cnf,ISU: Iowa State University,Q3,1,0
R_3xFBEh15xQlVRnq,ISU: Iowa State University,Q3,0,0
R_6PG1Cuv76VepqWl,ISU: Iowa State University,Q3,0,0
R_71gpBDaoM71iOWd,ISU: Iowa State University,Q3,0,0
R_35Lcxmkaz67yob7,ISU: Iowa State University,Q3,1,0
R_58R6JUKSuomDZAJ,ISU: Iowa State University,Q3,0,0
R_5gBZoyE4vNPGlI5,ISU: Iowa State University,Q3,0,0
R_1eA84Im7beahoY1,ISU: Iowa State University,Q3,0,0
R_7fdTODCfM0sSAS3,ISU: Iowa State University,Q3,0,0
R_1hMg5JnEnxc5DvY,ISU: Iowa State University,Q3,0,0
R_11ggthKN9fi3OAX,ISU: Iowa State University,Q3,0,0
R_5pgaq0pYCpZl0Yn,ISU: Iowa State University,Q3,0,0
R_6yeK7gFLIyf5hg3,ISU: Iowa State University,Q3,0,0
R_1nX6cppexZiCa3f,ISU: Iowa State University,Q3,1,0
R_32lNgQM6f5cqFfH,ISU: Iowa State University,Q3,0,0
R_7eskBBLFPrXiCcX,ISU: Iowa State University,Q3,0,0
R_6S6l3EmaWPCUCtQ,ISU: Iowa State University,Q3,0,0
R_1OnLYobBrU0J9n3,ISU: Iowa State University,Q4,0,0
R_6KW9lx7XeHmSWuY,ISU: Iowa State University,Q4,1,2
R_6H1CDySa09NOhIF,ISU: Iowa State University,Q4,1,2
R_5daTTG5Nj0bpgIQ,ISU: Iowa State University,Q4,0,0
R_3clD3zfmf2dSJC9,ISU: Iowa State University,Q4,0,1
R_1M3gVjepPyGy6gQ,ISU: Iowa State University,Q4,2,2
R_1oAxLJaF7Ca3G4k,ISU: Iowa State University,Q4,0,0
R_1ctEuox4xtQMb32,ISU: Iowa State University,Q4,1,1
R_1zItB9clYizWYzB,ISU: Iowa State University,Q4,0,0
R_7qwjqzh8MkMxwkl,ISU: Iowa State University,Q4,0,0
R_1VR7Wcu6KzUgkBs,ISU: Iowa State University,Q4,0,0
R_6rRMoJwCrYSQv8B,ISU: Iowa State University,Q4,1,0
R_7PTTlI8rRTywj9x,ISU: Iowa State University,Q4,1,2
R_2AHnha63e5ixr3O,UF: University of Florida,Q2,0,0
R_ePypgfabK1EGpoZ,UF: University of Florida,Q2,0,1
R_2yjCOIGcNitkSe9,UF: University of Florida,Q2,0,1
R_3QPJ7VxNRXXe4QR,UF: University of Florida,Q2,0,0
R_piLTsh0jCe1Nxlv,UF: University of Florida,Q2,1,2
R_3e9LXigHqb3padf,UF: University of Florida,Q2,0,1
R_1Qa1aMyxfgnMsf2,UF: University of Florida,Q2,0,0
R_1d5JCzoywo5qsHz,UF: University of Florida,Q2,0,1
R_1DYeZVlMR0yqoa0,UF: University of Florida,Q2,0,0
R_27lfLtyv1ssz1v7,UF: University of Florida,Q2,1,2
R_1FgmJdZogVIpfMA,UF: University of Florida,Q2,1,2
R_12sZ7fCjIj6oaVa,UF: University of Florida,Q2,0,1
R_0MQRpHixKGKfQzf,UF: University of Florida,Q2,1,2
R_1kFdAVzfwHe76Rq,UF: University of Florida,Q2,1,1
R_12QkKp4Dmy4NhYx,UF: University of Florida,Q2,2,2
R_5gNgxPGdZeRIs4F,UF: University of Florida,Q2,0,1
R_10NmNgK1lNpdI11,UF: University of Florida,Q2,1,2
R_p9HQ6d5neyHqpPz,UF: University of Florida,Q2,0,1
R_3mcP1Qiyii91Sk9,UF: University of Florida,Q2,0,1
R_2dEz1evreucmIKw,UF: University of Florida,Q2,0,1
R_2YfuUd96cpwExTw,UF: University of Florida,Q2,0,1
R_3gYR5VI4qA6FbK5,UF: University of Florida,Q2,0,1
R_2aVqGm8pYfGOllh,UF: University of Florida,Q2,0,1
R_295hwb3vc9LKKxx,UF: University of Florida,Q2,0,1
R_26hVaB2qpXKPzCX,UF: University of Florida,Q2,0,1
R_3k647OnhA32lBMB,UF: University of Florida,Q2,1,2
R_DGjYYgb95BEnuFP,,Q2,0,1
R_2cj8eoXwNaSApuq,UF: University of Florida,Q2,1,2
R_3koZDT3MjVtcQl3,UF: University of Florida,Q2,1,1
R_PIFWsY9IrVSdYRz,UF: University of Florida,Q2,0,1
R_1DoorjauORI3gzz,UF: University of Florida,Q2,0,0
R_2X4gpKhNI2hKcNA,UF: University of Florida,Q2,1,2
R_3Ez2qF0LoEhVVAp,UF: University of Florida,Q2,0,1
R_1PcwiZx3AR4goJZ,UF: University of Florida,Q2,1,1
R_3MtaUIMjvJVPBr1,UF: University of Florida,Q2,0,1
